,prompt,filename
0,"Amuse-Bouche Crispy Parmesan waffle with tomato and basil gelée, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Laurent_Dupont-L'Etoile_d'Or-Amuse-Bouche-Crispy_Parmesan_waffle_with_tomato_and_basil_gelée.jpg
1,"Appetizer Caramelized scallops with cauliflower purée and truffle essence, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Laurent_Dupont-L'Etoile_d'Or-Appetizer-Caramelized_scallops_with_cauliflower_purée_and_truffle_essence.jpg
2,"Soup Velvety butternut squash bisque with crème fraîche and sage croutons, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Laurent_Dupont-L'Etoile_d'Or-Soup-Velvety_butternut_squash_bisque_with_crème_fraîche_and_sage_croutons.jpg
3,"Fish Pan-seared turbot with Jerusalem artichoke purée, morel mushrooms, and beurre blanc, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Laurent_Dupont-L'Etoile_d'Or-Fish-Pan-seared_turbot_with_Jerusalem_artichoke_purée,_morel_mushrooms,_and_beurre_blanc.jpg"
4,"Meat Roasted duck breast with figs, purple potatoes, and honey-thyme reduction, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Laurent_Dupont-L'Etoile_d'Or-Meat-Roasted_duck_breast_with_figs,_purple_potatoes,_and_honey-thyme_reduction.jpg"
5,"Cheese Selection of artisanal French cheeses with quince paste and walnut bread, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Laurent_Dupont-L'Etoile_d'Or-Cheese-Selection_of_artisanal_French_cheeses_with_quince_paste_and_walnut_bread.jpg
6,"Dessert Valrhona chocolate fondant with raspberry coulis and Tahitian vanilla ice cream, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Laurent_Dupont-L'Etoile_d'Or-Dessert-Valrhona_chocolate_fondant_with_raspberry_coulis_and_Tahitian_vanilla_ice_cream.jpg
7,"Sakizuke Seasonal appetizer with Kyoto vegetables, tofu, and yuzu miso, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Katsuro_Tanaka-Sakura_No_Hana-Sakizuke-Seasonal_appetizer_with_Kyoto_vegetables,_tofu,_and_yuzu_miso.jpg"
8,"Sashimi Assorted fresh sashimi selection served with house-made soy sauce and wasabi, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Katsuro_Tanaka-Sakura_No_Hana-Sashimi-Assorted_fresh_sashimi_selection_served_with_house-made_soy_sauce_and_wasabi.jpg
9,"Nimono Simmered seasonal fish with daikon radish, ginger, and Kyoto miso, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Katsuro_Tanaka-Sakura_No_Hana-Nimono-Simmered_seasonal_fish_with_daikon_radish,_ginger,_and_Kyoto_miso.jpg"
10,"Tempura Crispy tempura featuring seasonal vegetables and shrimp, served with matcha salt and tentsuyu sauce, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Katsuro_Tanaka-Sakura_No_Hana-Tempura-Crispy_tempura_featuring_seasonal_vegetables_and_shrimp,_served_with_matcha_salt_and_tentsuyu_sauce.jpg"
11,"Yakimono Grilled Wagyu beef with shiitake mushrooms, asparagus, and a yuzu-kosho sauce, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Katsuro_Tanaka-Sakura_No_Hana-Yakimono-Grilled_Wagyu_beef_with_shiitake_mushrooms,_asparagus,_and_a_yuzu-kosho_sauce.jpg"
12,"Gohan Koshihikari rice cooked with seasonal ingredients, miso soup, and pickles, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Katsuro_Tanaka-Sakura_No_Hana-Gohan-Koshihikari_rice_cooked_with_seasonal_ingredients,_miso_soup,_and_pickles.jpg"
13,"Dessert Matcha mousse with azuki bean paste and yuzu sorbet, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Katsuro_Tanaka-Sakura_No_Hana-Dessert-Matcha_mousse_with_azuki_bean_paste_and_yuzu_sorbet.jpg
14,"Amuse-Bouche Balinese spiced tuna tartare on crispy cassava chip, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Made_Agus-Taman_Sari-Amuse-Bouche-Balinese_spiced_tuna_tartare_on_crispy_cassava_chip.jpg
15,"Appetizer Gado-gado salad with peanut sauce and fresh local vegetables, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Made_Agus-Taman_Sari-Appetizer-Gado-gado_salad_with_peanut_sauce_and_fresh_local_vegetables.jpg
16,"Soup Soto Ayam, a traditional Indonesian chicken soup with lemongrass, turmeric, and glass noodles, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Made_Agus-Taman_Sari-Soup-Soto_Ayam,_a_traditional_Indonesian_chicken_soup_with_lemongrass,_turmeric,_and_glass_noodles.jpg"
17,"Fish Ikan Bakar, grilled Jimbaran Bay fish with sambal matah and steamed rice, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Made_Agus-Taman_Sari-Fish-Ikan_Bakar,_grilled_Jimbaran_Bay_fish_with_sambal_matah_and_steamed_rice.jpg"
18,"Meat Babi Guling, Balinese roast suckling pig with urap vegetables and lawar salad, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Made_Agus-Taman_Sari-Meat-Babi_Guling,_Balinese_roast_suckling_pig_with_urap_vegetables_and_lawar_salad.jpg"
19,"Dessert Dadar Gulung, coconut crepes with palm sugar syrup and vanilla ice cream, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Made_Agus-Taman_Sari-Dessert-Dadar_Gulung,_coconut_crepes_with_palm_sugar_syrup_and_vanilla_ice_cream.jpg"
20,"Amuse-Bouche Tahitian-style poisson cru with coconut milk and lime, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Matthieu_Guérin-Le_Lagon-Amuse-Bouche-Tahitian-style_poisson_cru_with_coconut_milk_and_lime.jpg
21,"Appetizer Grilled octopus with mango salsa and vanilla-infused olive oil, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Matthieu_Guérin-Le_Lagon-Appetizer-Grilled_octopus_with_mango_salsa_and_vanilla-infused_olive_oil.jpg
22,"Soup Chilled cucumber and pineapple soup with mint and rum-infused yogurt, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Matthieu_Guérin-Le_Lagon-Soup-Chilled_cucumber_and_pineapple_soup_with_mint_and_rum-infused_yogurt.jpg
23,"Fish Pan-seared mahi-mahi with sweet potato purée, sautéed bok choy, and passionfruit beurre blanc, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Matthieu_Guérin-Le_Lagon-Fish-Pan-seared_mahi-mahi_with_sweet_potato_purée,_sautéed_bok_choy,_and_passionfruit_beurre_blanc.jpg"
24,"Meat Grilled New Zealand lamb chops with taro root gratin, broccolini, and rosemary jus, 4k food photography, top down picture of a plate, michelin starred dish","Chef_Matthieu_Guérin-Le_Lagon-Meat-Grilled_New_Zealand_lamb_chops_with_taro_root_gratin,_broccolini,_and_rosemary_jus.jpg"
25,"Dessert Vanilla bean panna cotta with poached papaya and coconut tuile, 4k food photography, top down picture of a plate, michelin starred dish",Chef_Matthieu_Guérin-Le_Lagon-Dessert-Vanilla_bean_panna_cotta_with_poached_papaya_and_coconut_tuile.jpg
